Data1,,,Data2,,,Data3,,,Data4,,,Data5,
Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) ,,Time (s),Spike Value (0/1) 
0.033282736,1,,0.198696302,1,,0.229192823,1,,0.280278955,1,,0.275454153,1
0.120246408,1,,1.409242763,1,,0.392668445,1,,0.688968011,1,,0.686981328,1
0.183492714,1,,1.77300303,1,,1.40417386,1,,1.342870501,1,,1.346843867,1
0.278362174,1,,2.822540848,1,,1.506346124,1,,1.465477218,1,,1.446178013,1
0.373231633,1,,3.174374549,1,,1.792428463,1,,1.731125105,1,,1.729989857,1
0.43647794,1,,3.395016022,1,,2.507634312,1,,2.630241028,1,,2.623997168,1
0.499724246,1,,3.556024665,1,,2.82436833,1,,3.345446877,1,,3.333526779,1
0.626216859,1,,3.72299659,1,,3.141102349,1,,3.468053594,1,,3.447051517,1
0.697368954,1,,4.486296822,1,,3.376098556,1,,3.580443084,1,,3.58895744,1
0.776426837,1,,4.295471764,1,,3.560008632,1,,4.459124555,1,,4.454583566,1
0.863390508,1,,5.851888643,1,,3.692832575,1,,4.53064514,1,,4.553917711,1
0.918731026,1,,7.044545255,1,,3.968697688,1,,5.142827289,1,,5.157017881,1
0.997788909,1,,7.342709408,1,,4.27521448,1,,5.795594532,1,,6.647030066,1
1.108469945,1,,7.754175939,1,,4.469341782,1,,6.661220658,1,,7.760991556,1
1.195433617,1,,8.380320661,1,,5.828232894,1,,7.775182148,1,,9.009763672,1
1.258679923,1,,9.865178143,1,,7.013431157,1,,9.023954265,1,,10.31529816,1
1.361455171,1,,10.31838766,1,,7.299513497,1,,10.31529816,1,,9.903770983,1
1.448418842,1,,10.72985419,1,,7.718419779,1,,9.910866279,1,,11.01063718,1
1.543288302,1,,11.03398162,1,,8.34167059,1,,11.00354188,1,,11.72016679,1
1.606534608,1,,11.40966846,1,,9.823168419,1,,11.71307149,1,,11.72016679,1
1.677686703,1,,11.74361231,1,,8.658404609,1,,11.47183142,1,,11.49311731,1
1.733027221,1,,12.26241793,1,,10.26250915,1,,12.28069518,1,,12.30198107,1
1.827896681,1,,12.41746329,1,,10.94706332,1,,12.51483995,1,,12.50774466,1
1.914860352,1,,12.65003133,1,,11.36596961,1,,12.95474831,1,,12.95474831,1
2.0176356,1,,14.4211264,1,,12.35704057,1,,14.14675806,1,,14.13256747,1
2.11250506,1,,15.33350871,1,,12.53073342,1,,14.26737809,1,,14.26737809,1
